uid	Statement Number	Evaluation Block	Statement	Submitter	Source	Target	Generated Question	Rel_1	Rel_2	Rel_3	Relevance	QT_1	QT_2	QT_3	Question Type	Cor_1	Cor_2	Cor_3	Correctness	Amb_1	Amb_2	Amb_3	Ambiguity	Var_1	Var_2	Var_3	Variety
188	15	54	Repetitive play can also be a dilemma, in that adults are uncertain about when, or indeed whether, they should intervene to move the child on.	b	OpenLearn	why	Why can Repetitive play also be a dilemma? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
189	15	55	Repetitive play can also be a dilemma, in that adults are uncertain about when, or indeed whether, they should intervene to move the child on.	c	OpenLearn	why	Why should they intervene to move the child on ? 	2	2	2	2.00	1	1	1	1.00	2	1	1	1.33	2	2	2	2.00	3	3	3	3.00
190	16	56	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	a	OpenLearn	what	What movement is impaired? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00
191	16	56	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	a	OpenLearn	what	What does speech become? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00
192	16	56	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	a	OpenLearn	how many	If BAC , levels increase to around 200 mg and how many milliliters then speech becomes slurred and coordination of movement is impaired? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	2	1	1	1.33
193	16	56	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	a	OpenLearn	how many	BAC , levels increase to around 2 hundred mg and how many milliliters? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	1	1	1.33
194	16	57	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	c	OpenLearn	how many	How many mg\ ml BAC levels increase to ? 	2	2	2	2.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	2	2.00
195	16	57	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	c	OpenLearn	how many	How many mg\ ml then speech becomes slurred and coordination of movement is impaired ? 	2	2	2	2.00	1	1	1	1.00	2	3	4	3.00	2	2	2	2.00	2	2	2	2.00
196	16	58	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	d	OpenLearn	what	What increase to around 200 mg/100 ml? 	2	2	2	2.00	1	1	1	1.00	1	2	2	1.67	1	2	2	1.67	1	1	1	1.00
197	16	58	If BAC levels increase to around 200 mg/100 ml then speech becomes slurred and coordination of movement is impaired.	d	OpenLearn	what	BAC levels increase to what? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00	1	1	1	1.00
198	17	59	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	a	OpenLearn	which	The passing of which place soon saw the establishment of national many radio broadcasting organizations, the BBC formed in 1922? 	3	2	2	2.33	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00
199	17	59	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	a	OpenLearn	which	The establishment of which place did the passing of the First World War soon see? 	3	2	2	2.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
200	17	59	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	a	OpenLearn	when	When did the passing of the First World War soon see the establishment of the BBCs formed? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	1	1	1	1.00
201	17	59	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	a	OpenLearn	when	When was the BBC formed? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
202	17	60	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	b	OpenLearn	which	Which organisation being formed in 1922? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	1	1	1	1.00
203	17	60	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	b	OpenLearn	which	Which body of many national radio broadcasting organisations did the passing of the First World War soon saw? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
204	17	60	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	b	OpenLearn	when	When the BBC being formed? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	3	3	3	3.00
205	17	61	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	c	OpenLearn	when	when the passing of the First World War ? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	1	2	2	1.67	1	1	1	1.00
206	17	61	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	c	OpenLearn	when	when saw the establishment of many national radio broadcasting organizations , the BBC being formed ? 	2	1	1	1.33	1	1	1	1.00	3	3	4	3.33	2	1	1	1.33	1	1	1	1.00
207	17	61	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	c	OpenLearn	which	The passing of which War soon saw the establishment of many national radio broadcasting organizations ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
208	17	61	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	c	OpenLearn	which	The passing of the First World War soon saw the establishment of which organizations ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
209	17	62	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	d	OpenLearn	when	When the passing saw the establishment being formed? 	3	3	3	3.00	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	2	2	2.00
210	17	62	The passing of the First World War soon saw the establishment of many national radio broadcasting organisations, the BBC being formed in 1922.	d	OpenLearn	when	The passing saw the establishment being formed when? 	2	3	3	2.67	1	1	1	1.00	4	1	4	3.00	2	2	2	2.00	2	2	2	2.00
211	18	63	There are seven wooden pieces, which can be assembled to form a solid cube.	a	OpenLearn	what	What is assembled? 	1	1	1	1.00	1	1	1	1.00	2	1	1	1.33	1	2	2	1.67	1	1	1	1.00
212	18	63	There are seven wooden pieces, which can be assembled to form a solid cube.	a	OpenLearn	what	What are 7 wooden pieces who can be assembled to form a solid cube? 	2	1	2	1.67	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
213	18	63	There are seven wooden pieces, which can be assembled to form a solid cube.	a	OpenLearn	how many	How many pieces are assembled? 	1	1	1	1.00	1	1	1	1.00	3	1	1	1.67	2	3	2	2.33	2	2	2	2.00
214	18	63	There are seven wooden pieces, which can be assembled to form a solid cube.	a	OpenLearn	how many	How many wooden pieces who can be assembled are there to form a solid cube? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	1	3	2.00	2	2	2	2.00
215	18	64	There are seven wooden pieces, which can be assembled to form a solid cube.	b	OpenLearn	how many	How many pieces, which can be assembled to form a solid cube are there? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	2	1	1.33	3	3	3	3.00
216	18	65	There are seven wooden pieces, which can be assembled to form a solid cube.	c	OpenLearn	how many	How many wooden pieces There are ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	2	2	1.67	3	3	3	3.00
217	18	65	There are seven wooden pieces, which can be assembled to form a solid cube.	c	OpenLearn	what	What form a solid cube ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	3	3	3	3.00
218	19	66	Air contains several different gases but about twenty per cent of it is oxygen.	a	OpenLearn	what	What contains several different gases but is about 20 per ct of it oxygen? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	2	2	2	2.00
219	19	66	Air contains several different gases but about twenty per cent of it is oxygen.	a	OpenLearn	what	Air contains several different gases but about 20 per ct of what is oxygen? 	1	1	1	1.00	1	1	1	1.00	1	3	3	2.33	1	1	3	1.67	2	2	2	2.00
220	19	66	Air contains several different gases but about twenty per cent of it is oxygen.	a	OpenLearn	how many	Air contains different several gases but about how much of it per ct is oxygen? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	2	2	2	2.00
221	19	66	Air contains several different gases but about twenty per cent of it is oxygen.	a	OpenLearn	how many	Air contains different several gases but how much of it is oxygen about per ct? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	2	2	2	2.00
222	19	67	Air contains several different gases but about twenty per cent of it is oxygen.	b	OpenLearn	how many	Which UNKNOWN contains several different gases? 	3	2	2	2.33	2	2	2	2.00	2	1	2	1.67	2	2	3	2.33	3	3	3	3.00
223	19	67	Air contains several different gases but about twenty per cent of it is oxygen.	b	OpenLearn	what	What does air contains? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	3	3	3	3.00
224	19	68	Air contains several different gases but about twenty per cent of it is oxygen.	c	OpenLearn	how many	How many per cent of it is oxygen ? 	2	1	1	1.33	1	1	1	1.00	2	1	2	1.67	2	2	2	2.00	2	1	1	1.33
225	19	68	Air contains several different gases but about twenty per cent of it is oxygen.	c	OpenLearn	how many	How many per cent Air contains several different gases it is oxygen? 	1	1	1	1.00	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	1	1	1.33
226	19	68	Air contains several different gases but about twenty per cent of it is oxygen.	c	OpenLearn	what	What contains several different gases ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	3	3	3	3.00
227	20	69	Some of Britain's most dramatic scenery is to be found in the Scottish Highlands.	a	OpenLearn	where	Some of where's most dramatic scenery is to be found in the Scottish highlands? 	1	1	1	1.00	1	1	1	1.00	2	1	2	1.67	1	1	1	1.00	1	1	1	1.00
228	20	69	Some of Britain's most dramatic scenery is to be found in the Scottish Highlands.	a	OpenLearn	where	Where is some of Britain most dramatic scenery be to be found? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	1	1	1	1.00
229	20	70	Some of Britain's most dramatic scenery is to be found in the Scottish Highlands.	b	OpenLearn	where	Where is some of Britain 's most dramatic scenery to be found? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
230	20	71	Some of Britain's most dramatic scenery is to be found in the Scottish Highlands.	c	OpenLearn	where	where is Some of Britain's most dramatic scenery to be found ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
231	21	72	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	a	OpenLearn	yes/no	Does Germany , Canada , state? 	3	3	3	3.00	1	1	1	1.00	4	4	4	4.00	3	3	3	3.00	3	3	3	3.00
232	21	72	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	a	OpenLearn	yes/no	Does Germany , Canada , state? 	3	3	3	3.00	1	1	1	1.00	4	4	4	4.00	3	3	3	3.00	3	3	3	3.00
233	21	72	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	a	OpenLearn	which	Among many others, the UK, Spain , Italy and France are unitary states, while the United States of America, which country and India are federal states? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	2	1	1	1.33
234	21	72	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	a	OpenLearn	which	Germany , Canada , is the United Stateses of which place is federal? 	2	1	1	1.33	1	1	1	1.00	3	4	4	3.67	2	2	2	2.00	2	1	1	1.33
235	21	73	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	b	OpenLearn	which	Among many others, the UK, Spain, Italy and France are which states, while Germany, Canada, the United States of America, Switzerland and India are federal states? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	3	3	3	3.00
236	21	74	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	c	OpenLearn	yes/no	Are the UK , Spain , Italy and France unitary states ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
237	21	74	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	c	OpenLearn	yes/no	Are Germany, Canada, the United States of America, Switzerland and India federal states ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
238	21	74	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	c	OpenLearn	which	Among many others , the UK , Spain , Italy and France are which states , while Germany , Canada , the United States of America , Switzerland and India are federal states ? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	1	1	1	1.00
239	21	74	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	c	OpenLearn	which	Among many others , the UK , Spain , Italy and France are unitary states , while Germany , Canada , the United States of America , Switzerland and India are which states ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
240	21	75	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	d	OpenLearn	yes/no	The UK, Spain, Italy states, while Germany, are federal states? 	3	2	2	2.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
241	21	75	Among many others, the UK, Spain, Italy and France are unitary states, while Germany, Canada, the United States of America, Switzerland and India are federal states.	d	OpenLearn	yes/no	Is the UK, Spain, Italy states, while Germany, are federal states? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
242	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	where	Where is Dumfries? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
243	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	where	Designer Ian Callum from where in Scotland originally studied at the Glasgow School of Art and at the Royal College of Art in London? 	1	1	1	1.00	1	1	1	1.00	1	2	3	2.00	1	1	1	1.00	1	1	1	1.00
244	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	who	Designer from Dumfries in Scotland who studied at the Glasgow School of Art and at the Royal College of Art in London originally? 	2	2	2	2.00	1	1	1	1.00	2	2	3	2.33	2	1	1	1.33	1	1	1	1.00
245	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	who	Who is Ian Callum? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00
246	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	what	Designer Ian Callum from Dumfries in what place originally studied at the Glasgow School of Art and at the Royal College of Art in London? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	1	1	1	1.00
247	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	what	What Ian originally studied at the Glasgow School t Ian originally studied at the Glasgow School of Art and at the Royal College of Art in London? 	3	2	2	2.33	1	1	1	1.00	4	4	4	4.00	3	2	2	2.33	1	1	1	1.00
248	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	which	Designer Ian Callum from Dumfries in which place originally studied at the Glasgow School of Art and at the Royal College of Art in London 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	3	3	3	3.00
249	22	76	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	a	OpenLearn	which	Designer Ian Callum from Dumfries in which place originally studied at the Glasgow School of Art and at the Royal College of Art in London 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	3	3	3	3.00
250	22	77	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	b	OpenLearn	where	Designer Ian Callum, originally from Dumfries Where, studied at the Glasgow School of Art and at the Royal College of Art in London? 	1	1	1	1.00	2	1	1	1.33	2	3	3	2.67	2	1	1	1.33	1	1	1	1.00
251	22	77	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	b	OpenLearn	where	Where did designer Ian Callum, originally from Dumfries in Scotland, study and at the Royal College of Art in London? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	1	1	1	1.00
252	22	77	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	b	OpenLearn	who	Who, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
253	22	78	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	c	OpenLearn	who	WHO originally from Dumfries in Scotland , studied at the Glasgow School of Art and at the Royal College of Art in London ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00
254	22	78	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	c	OpenLearn	who	who studied at the Glasgow School of Art ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	2	2	2	2.00
255	22	78	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	c	OpenLearn	where	where studied Designer Ian Callum , originally from Dumfries in Scotland ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	1	1	1.33
256	22	78	Designer Ian Callum, originally from Dumfries in Scotland, studied at the Glasgow School of Art and at the Royal College of Art in London.	c	OpenLearn	which	Designer Ian Callum , originally from Dumfries in Scotland , studied at which School of Art and at the Royal College of Art in London ? 	1	1	1	1.00	1	1	1	1.00	1	2	3	2.00	1	1	1	1.00	2	1	1	1.33
257	23	79	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	a	OpenLearn	when	It is agreed that the Enlightenment was at the height of its influence when and early 1770s? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	1	1	1	1.00
258	23	79	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	a	OpenLearn	when	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early when? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	1	1	1.00	1	1	1	1.00
259	23	79	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	a	OpenLearn	what	What is agreed the Enlightenment was at the height of its influence in the 1760s and early 1770sses? 	1	1	1	1.00	1	1	1	1.00	2	3	4	3.00	1	1	1	1.00	3	3	3	3.00
260	23	79	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	a	OpenLearn	what	What is agreed the enlightenment was at the height of its influence in the 1760sses and early 1770sses? 	1	1	1	1.00	1	1	1	1.00	2	3	4	3.00	1	1	1	1.00	3	3	3	3.00
261	23	80	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	b	OpenLearn	when	When was the Enlightenment at the height of its influence? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00
262	23	80	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	b	OpenLearn	what	What of its influence was the Enlightenment at in the 1760s and early 1770s? 	2	1	1	1.33	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	2	2	2	2.00
263	23	81	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	c	OpenLearn	when	when is it agreed that ? 	3	2	2	2.33	1	1	1	1.00	4	4	4	4.00	3	3	3	3.00	3	3	3	3.00
264	23	82	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	d	OpenLearn	when	The Enlightenment was when? 	1	1	1	1.00	1	1	1	1.00	2	1	1	1.33	2	2	2	2.00	2	2	2	2.00
265	23	82	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	d	OpenLearn	when	When the Enlightenment was? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
266	23	82	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	d	OpenLearn	what	What was in the 1760s? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	2	2	2	2.00	2	1	1	1.33
267	23	82	It is agreed that the Enlightenment was at the height of its influence in the 1760s and early 1770s.	d	OpenLearn	what	What was of its influence in the 1760s and early 1770s? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	1	1	1.33
268	24	83	Motivation theories seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals.	a	OpenLearn	what	What do we go through? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00
269	24	83	Motivation theories seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals.	a	OpenLearn	what	What do we do? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00
270	24	84	Motivation theories seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals.	b	OpenLearn	what	What seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
271	24	85	Motivation theories seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals.	c	OpenLearn	what	What seek to explain why we do the things we do either by examining how a behaviour satisfies our âneedsâ or the processes we go through as we decide how to achieve our goals ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
272	24	85	Motivation theories seek to explain why we do the things we do either by examining how a behaviour satisfies our needs or the processes we go through as we decide how to achieve our goals.	c	OpenLearn	what	What explain why we do the things we do either by examining how a behaviour satisfies our âneedsâ or the processes we go through as we decide how to achieve our goals ? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	1	1	1.00	3	3	3	3.00
273	25	86	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	a	OpenLearn	who	Who was Softbank BB's Pres? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	2	2	2.00
274	25	86	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	a	OpenLearn	who	Was Softbank BB's president Masayoshi Son? 	1	1	1	1.00	2	2	2	2.00	2	1	2	1.67	1	1	1	1.00	2	2	2	2.00
275	25	86	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	a	OpenLearn	what	What would Softbank BB's Pres announced, he, and other senior executives take furthermore? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	1	1	1.33
276	25	86	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	a	OpenLearn	what	What did Masayoshi Son announce? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	2	1	1	1.33
277	25	87	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	b	OpenLearn	who	Furthermore, Softbank BB 's president, who, announced that he and other senior executives would take a 50 per cent pay cut for the next six months? 	2	2	2	2.00	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	3	3	3	3.00
278	25	87	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	b	OpenLearn	which	Which cut would he and other senior executives take for the next six months? 	1	1	1	1.00	1	1	1	1.00	2	1	2	1.67	2	2	2	2.00	3	3	3	3.00
279	25	87	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	b	OpenLearn	how many	How many cut would he and other senior executives take for the next six months? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	1	1	1	1.00
280	25	87	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	b	OpenLearn	how many	For how many months would he and other senior executives take a 50 per cent pay cut? 	1	1	1	1.00	1	1	1	1.00	2	1	2	1.67	2	2	2	2.00	1	1	1	1.00
281	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	who	who announced , that he and other senior executives would take a 50 per cent pay cut for the next six months ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
282	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	how many	How many per cent pay cut for the next six months ? 	2	1	1	1.33	1	1	1	1.00	2	1	2	1.67	2	2	2	2.00	2	2	2	2.00
283	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	how many	How many per cent he and other senior executives would take ? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
284	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	which	Furthermore , Softbank BB's president , Masayoshi Son , announced that he and other senior executives would take a 50 per cent pay cut for which month ? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00
285	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	what	What announced that he and other senior executives would take a 50 per cent pay cut for the next six months ? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	2	2	2	2.00
286	25	88	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	c	OpenLearn	what	What would take a 50 per cent pay cut for the next six months ? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00	2	2	2	2.00
287	25	89	Furthermore, Softbank BB's president, Masayoshi Son, announced that he and other senior executives would take a 50 per cent pay cut for the next six months.	d	OpenLearn	who	Who would take a 50 per cent pay cut? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	2	2	2	2.00
